model,PR_AUC,ROC_AUC,precision,recall,f1,threshold,TP,FP,FN,TN
none,0.7152505295732757,0.9618253684752691,0.8461538461538461,0.6260162601626016,0.719626168224299,0.5,77,14,46,71065
SMOTE+Tomek,0.7099250507300539,0.9715470602559821,0.05711318795430945,0.8943089430894309,0.10736944851146901,0.5,110,1816,13,69263
SMOTE,0.7099250507300539,0.9715470602559821,0.05711318795430945,0.8943089430894309,0.10736944851146901,0.5,110,1816,13,69263
class_weight,0.7021937135567421,0.9713340829858728,0.05989010989010989,0.8861788617886179,0.11219763252702007,0.5,109,1711,14,69368
undersample,0.6861519972607453,0.9710378935976082,0.04267589388696655,0.9024390243902439,0.08149779735682819,0.5,111,2490,12,68589
