model,PR_AUC,ROC_AUC,precision,recall,f1,threshold,TP,FP,FN,TN
XGBoost,0.8575968278348253,0.9784150625028809,0.8928571428571429,0.8130081300813008,0.851063829787234,0.5,100,12,23,71067
RandomForest (balanced),0.8357360356826516,0.9449207837792303,0.967391304347826,0.7235772357723578,0.827906976744186,0.5,89,3,34,71076
LogReg (balanced),0.7021937135567421,0.9713340829858728,0.05989010989010989,0.8861788617886179,0.11219763252702007,0.5,109,1711,14,69368
IsolationForest (unsup.),0.16534923412408248,0.9503195631289449,0.2764227642276423,0.2764227642276423,0.2764227642276423,0.6515989967437108,34,89,89,70990
